word1,word2,MI_score
great,side,0.9848544544705238
side,great,0.9848544544705238
frodo,things,0.9835146687306242
sam,found,0.9822530201667128
could,road,0.9809540599701165
even,could,0.9809540599701165
great,fire,0.9789778881338531
said,think,0.9789758422207768
road,merry,0.9789126063382856
farewell,said,0.9766127048522986
old,see,0.97395258487483
return,said,0.9722342643417239
said,bring,0.9722342643417239
frodo,cried,0.9721993555027897
gandalf,think,0.9712588802844095
gandalf,white,0.9712588802844095
went,away,0.9693597824835436
said,weary,0.9671986744444236
time,come,0.9671586234570135
like,night,0.966425726548465
came,upon,0.9645132272776706
pippin,saw,0.9639757247946044
may,lord,0.9629710624692631
would,know,0.9620592708542564
know,said,0.9613459481989892
said,nay,0.9613459481989874
looked,far,0.9601402453164578
time,frodo,0.9578688615397546
looked,still,0.9577003748873274
merry,like,0.9572574112748704
eyes,away,0.9564577555105895
men,passed,0.9560483763367653
dead,said,0.9555168693967886
come,mr,0.9551193738341013
forgotten,said,0.9544595626137458
thats,said,0.9544595626137458
last,passed,0.9538772772951383
mordor,came,0.9532120960069346
hand,upon,0.9518856189499214
give,said,0.9518856189499196
great,walls,0.9504714604448576
sun,great,0.9504714604448576
upon,many,0.9502225697272753
stood,upon,0.9478501057147657
gandalf,dead,0.9477999074604195
guess,said,0.9462390558087783
aragorn,come,0.945249129810037
old,still,0.9443982217423059
shall,aragorn,0.9425888025931997
gimli,said,0.9424869209476725
seemed,many,0.9417609909790787
gate,gandalf,0.9414676586367037
first,great,0.9393136705603382
would,gandalf,0.9383508439415458
came,road,0.9370924306436592
made,could,0.9367542560595812
come,man,0.9345580513517824
man,come,0.9345580513517824
came,darkness,0.9338899986053146
go,little,0.9321831815001538
said,shall,0.9314924704395899
sam,heard,0.9304140886470957
said,enough,0.9291655424498373
tell,said,0.9291655424498373
upon,great,0.9271389566142361
behind,back,0.9257925309067172
go,frodo,0.9233593311131472
came,soon,0.9222081935576814
far,could,0.921632969034917
day,frodo,0.9212623902775672
take,come,0.9210115195138346
must,still,0.9204193588078677
great,seen,0.919444564824234
gate,great,0.9165697149040479
well,well,0.9156114635909507
merry,seemed,0.9154096640321274
aragorn,go,0.9145891214854132
honour,said,0.9138175781164009
mark,said,0.9138175781164009
come,must,0.9102651380498372
pippin,see,0.9055796025819376
came,walls,0.9053835709163192
go,road,0.9045354568214883
king,come,0.9029231627086709
faramir,said,0.902775407324814
sam,eyes,0.9023997124775001
country,said,0.901844936450324
said,better,0.901844936450324
said,country,0.901844936450324
aragorn,looked,0.8998797204989835
lay,great,0.8991245804446404
stood,like,0.8987741140173391
came,end,0.8971054128079867
frodo,hope,0.895383758451958
go,see,0.8950489350897683
said,must,0.8922441661680516
shall,time,0.8922094354332941
city,pippin,0.8912193823592904
far,yet,0.8869959673629033
went,city,0.8855057311648995
would,ever,0.8847835573776166
us,said,0.8846258654016204
faramir,yet,0.8845117738246273
men,cried,0.8836288307124658
come,road,0.8811187923903212
come,well,0.8811187923903212
went,day,0.8807833209224949
faramir,go,0.8792560483731311
well,would,0.8790699061832221
said,go,0.8785751571274751
towards,great,0.8770982741146387
said,nothing,0.8770770313013845
light,came,0.8764045039445563
away,black,0.8755377601270222
lord,come,0.8745759465235494
said,lands,0.874289213929762
last,long,0.8729406486409843
gondor,come,0.8715327435611258
still,though,0.8697932857378987
said,got,0.8694234587579501
seemed,yet,0.868314546296828
road,many,0.8677604095353022
merry,well,0.8662837512273782
well,merry,0.8662837512273782
frodo,way,0.8657672776858636
us,lord,0.865656628835028
said,name,0.8653190604252092
may,one,0.8651772485213023
merry,one,0.8651772485212987
frodo,looked,0.8642558107682632
sam,head,0.8640715938183998
went,faramir,0.8620467583409095
come,see,0.8615786059946764
yet,come,0.8599023064806275
like,upon,0.8597409053606064
healing,said,0.8587762145584374
hobbit,said,0.8587762145584374
journey,said,0.8587762145584374
sam,back,0.8586783350481824
shadow,great,0.8580973121845847
great,shadow,0.8580973121845847
end,sam,0.8580055931190458
must,lord,0.856055858552752
know,would,0.8551440669377417
eomer,came,0.8540366909161019
back,merry,0.8521354891814106
merry,back,0.8521354891814106
ready,said,0.8517214570244906
man,said,0.8505868167450927
come,end,0.8505304725569012
old,merry,0.8494464016537684
king,lord,0.8487138832115839
dont,sam,0.8479519284551227
sam,hand,0.8479519284551209
hand,sam,0.8479519284551209
could,could,0.8468173873185805
went,came,0.8445013287692973
must,see,0.843058518023879
said,going,0.8429512473967549
would,denethor,0.8419169077657571
coming,said,0.8419023959940404
let,said,0.8384357662742623
said,let,0.8384357662742623
go,though,0.8379678398825003
away,behind,0.8375699099280016
see,time,0.8364490611248954
merry,went,0.8356954313939582
still,see,0.8337649765536863
north,came,0.8320103845861002
aragorn,may,0.8320103845861002
great,beyond,0.8313799738088061
gandalf,still,0.8305338552906711
came,great,0.8287352525532405
great,ride,0.8287352525532405
better,said,0.8278443550065475
faramir,would,0.8269471751070903
need,said,0.826803824820157
said,need,0.826803824820157
came,land,0.826555954493994
came,two,0.826555954493994
land,came,0.826555954493994
way,went,0.8252882083307913
would,go,0.8229060098852266
gandalf,well,0.8220409132658979
frodo,hand,0.8217267167266531
going,sam,0.8214797170939327
city,great,0.8208300544678941
gandalf,gandalf,0.8203312211350671
would,even,0.8176693615190818
behind,upon,0.8169560388638111
cant,said,0.8169560388638111
said,ride,0.8169560388638111
look,sam,0.8162430687277844
aragorn,merry,0.814936871227161
away,last,0.814608761484692
great,west,0.812967936694923
indeed,great,0.812967936694923
said,time,0.8129205256286554
gandalf,us,0.8129022910180268
pippin,went,0.8109487690582711
pippin,old,0.8076262259591438
time,pippin,0.8076262259591438
well,one,0.8075897569683583
would,come,0.806442106095826
fear,would,0.8056967198530032
still,may,0.804942141387933
yet,time,0.802351283918469
must,well,0.798468366999808
gandalf,time,0.7966920638367672
back,well,0.7945479976284666
wish,said,0.7942359623637287
black,like,0.7938752556993318
frodo,eyes,0.7937123405570556
gandalf,lord,0.7921655635685028
old,well,0.7918589101008244
away,way,0.7914734953385469
said,mr,0.7914209467566735
way,would,0.7901886250969721
frodo,frodo,0.7886767506597572
gandalf,even,0.7886547447713497
yet,must,0.7869344344874509
gate,men,0.7855967477519403
hope,would,0.7852478838267025
said,tell,0.7847756331146627
time,one,0.7822409075392276
know,pippin,0.7804800839460189
spoke,said,0.779961831381609
sam,could,0.7789102840254714
theres,said,0.7763140543664662
gondor,great,0.7761970585394948
said,faramir,0.7744513103492778
one,road,0.7742035884738083
would,left,0.7703636467407229
came,west,0.7678800471663845
great,tower,0.7666742844209882
come,days,0.7656415749703882
dead,sam,0.7641203376516508
lady,said,0.7637140175868318
gandalf,faramir,0.7633753363229925
could,go,0.7618367706665303
saw,last,0.7604423307094734
may,said,0.7603725104974437
master,said,0.7592405410075251
long,may,0.7574634312210495
go,well,0.757349379674217
sam,well,0.757349379674217
stone,came,0.7565201850018362
looked,lord,0.755833350882277
said,see,0.754148398563995
said,much,0.75394624133801
away,even,0.7500068780431626
road,away,0.7500068780431626
back,saw,0.7496355757528903
far,dark,0.7490138584233428
seemed,pippin,0.7480586062536414
behind,great,0.7478152571696732
sam,saw,0.7448584354910182
fear,come,0.7436152686403865
going,come,0.7436152686403865
back,way,0.7421925925673278
way,back,0.7421925925673278
white,came,0.7392162889142408
came,suddenly,0.7368531515457608
cried,frodo,0.7311912559989953
light,frodo,0.7311912559989953
hand,would,0.7302065202687427
would,day,0.7302065202687427
passed,away,0.7293170192759781
back,frodo,0.7292324029609389
pippin,back,0.7278531532948094
great,things,0.7263568292334988
said,ready,0.7261905749406292
told,said,0.7261905749406292
weary,said,0.7261905749406292
said,sam,0.7255942967585973
said,keep,0.7238466344723307
shall,city,0.7228218506635731
said,also,0.7224913548603205
sam,cried,0.7183166480385257
upon,road,0.7174203653128988
said,hope,0.717420365312897
upon,black,0.717420365312897
away,back,0.7163391652777698
city,men,0.7158522958487339
great,light,0.7150415160056642
far,back,0.712487982398228
long,last,0.7124759764477382
last,road,0.7115327302285266
came,dark,0.7107796399358683
soon,come,0.7082821955281062
saw,one,0.7076359715348222
king,last,0.7068648891856864
back,little,0.7063473936206073
aragorn,long,0.7062907792315336
way,go,0.70499397461308
days,would,0.7021921440991434
lord,would,0.7021921440991434
came,city,0.7017415834955791
back,long,0.7016692214911551
came,grey,0.7010250724101326
see,shall,0.7006561948611072
one,could,0.6986190981773852
said,answered,0.6983115423651931
said,something,0.6983115423651913
looked,like,0.6982458593293313
still,even,0.6953528031730922
well,back,0.6950123240775525
right,said,0.6947002888128146
come,come,0.6943199723836138
think,said,0.6935736233585281
strange,said,0.6914251567799514
say,said,0.6905446593215032
said,take,0.6901988965778756
could,time,0.6894310971766267
looked,long,0.6878292433839963
gone,said,0.6857115055855623
maybe,said,0.6857115055855587
looked,great,0.6851004832724108
gandalf,back,0.6839039339444746
eowyn,said,0.6832046499749822
one,us,0.6829739173005525
lord,lord,0.6828631432765278
said,words,0.6824139154849824
old,pippin,0.6820953438752824
said,yet,0.6760259974655689
far,go,0.6752893644439784
come,said,0.6719773945517282
go,time,0.6715646763831131
must,yet,0.6714572170675179
go,said,0.6707702720140745
said,pass,0.6701146505345399
go,sam,0.6694766236488832
like,black,0.6683443736154704
come,made,0.6669939870374737
men,say,0.6644603102503055
go,even,0.6635273573176939
think,frodo,0.6629503946861739
men,many,0.6626459796306889
far,like,0.6614907025744099
best,said,0.6608368369465296
said,get,0.6608368369465296
could,went,0.659738583047794
came,back,0.6583122200417328
gandalf,may,0.6572359834823942
went,back,0.6570444738785319
would,still,0.6530975945709727
yet,may,0.6528415389001676
go,black,0.6515547156516188
